Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Income_by_Loan,Loan_to_Income,EMI,Balance_Income
Male,No,0,Graduate,No,5849,0.0,128.0,360.0,1.0,Urban,Y,5849.0,45.34108527131783,0.02188034188034188,0.3545706371191136,5721.0
Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N,6091.0,47.21705426356589,0.021011162179908074,0.3545706371191136,5963.0
Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,3000.0,44.776119402985074,0.021992669110296566,0.18282548476454294,2934.0
Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y,4941.0,40.83471074380165,0.024281667341157425,0.33240997229916897,4821.0
Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y,6000.0,42.25352112676056,0.023496083986002333,0.39058171745152354,5859.0
Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y,9613.0,35.86940298507463,0.027771999167880174,0.739612188365651,9346.0
Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y,3849.0,40.09375,0.024675324675324677,0.2631578947368421,3754.0
Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N,5540.0,34.84276729559748,0.02851470853636528,0.4376731301939058,5382.0
Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y,5532.0,32.73372781065089,0.030363274896078075,0.46537396121883656,5364.0
Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N,23809.0,68.02571428571429,0.014657706845863082,0.9667590027700831,23460.0
Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y,3900.0,54.929577464788736,0.017944116893104333,0.19390581717451524,3830.0
Male,Yes,2,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,Y,4340.0,39.45454545454545,0.025109421792213777,0.30193905817174516,4231.0
Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y,11179.0,55.61691542288557,0.017889087656529516,0.554016620498615,10979.0
Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N,4693.0,40.80869565217391,0.024286322965487855,0.3157894736842105,4579.0
Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,Y,2385.0,132.5,0.007124895222129086,0.14049586776859505,2368.0
Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y,4950.0,39.285714285714285,0.025247424762674206,0.3462603878116344,4825.0
Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,1.0,Urban,Y,3596.0,35.603960396039604,0.027800945232137893,0.4149377593360996,3496.0
Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N,3510.0,45.58441558441559,0.02164625462831102,0.21052631578947367,3434.0
Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N,4887.0,36.47014925373134,0.02720949263502455,0.3684210526315789,4754.0
Male,Yes,0,Graduate,No,2600,3500.0,115.0,360.0,1.0,Urban,Y,6100.0,52.58620689655172,0.018849368955908868,0.3185595567867036,5985.0
Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,N,7660.0,72.95238095238095,0.013575251272679808,0.2880886426592798,7556.0
Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,Y,11580.0,36.64556962025316,0.027199723685346688,0.8725761772853186,11265.0
Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,N,4511.0,38.55555555555556,0.025709219858156027,0.32132963988919666,4395.0
Male,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N,5282.0,46.743362831858406,0.021200075714556125,0.31024930747922436,5170.0
Male,Yes,1,Graduate,No,3717,2925.0,151.0,360.0,1.0,Semiurban,N,6642.0,43.69736842105263,0.022730693963570674,0.4182825484764543,6491.0
Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y,9560.0,49.791666666666664,0.019976989854617717,0.5290858725761773,9369.0
Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,Y,5052.0,41.073170731707314,0.02414407282802296,0.3379501385041551,4930.0
Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,Y,5266.0,47.44144144144144,0.020884754129485476,0.3047091412742382,5156.0
Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,N,1442.0,40.05555555555556,0.024255024255024255,0.09695290858725762,1407.0
Female,No,2,Graduate,No,3750,2083.0,120.0,360.0,1.0,Semiurban,Y,5833.0,48.20661157024794,0.02056907781967775,0.33240997229916897,5713.0
Male,Yes,1,Graduate,No,4166,3369.0,201.0,360.0,1.0,Urban,N,7535.0,37.301980198019805,0.026671974522292995,0.556786703601108,7334.0
Male,No,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,N,3167.0,42.22666666666667,0.02335858585858586,0.20498614958448755,3093.0
Male,No,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,N,4692.0,43.850467289719624,0.02258683145109738,0.29362880886426596,4586.0
Male,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,Y,5167.0,44.93043478260869,0.022058823529411766,0.3157894736842105,5053.0
Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,N,15500.0,48.28660436137071,0.02064382943035933,0.8864265927977839,15180.0
Male,Yes,0,Graduate,No,2275,2067.0,128.0,360.0,1.0,Urban,Y,4342.0,33.65891472868217,0.029472714713331797,0.3545706371191136,4214.0
Male,Yes,0,Graduate,No,1828,1330.0,100.0,360.0,0.0,Urban,N,3158.0,31.26732673267327,0.03165558721114277,0.2770083102493075,3058.0
Female,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,Y,5126.0,35.351724137931036,0.028086600351082503,0.3988919667590028,4982.0
Male,No,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,Y,11376.0,61.49189189189189,0.016172980574843985,0.5096952908587258,11192.0
Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y,5416.0,48.792792792792795,0.020306442680450433,0.3047091412742382,5306.0
Male,No,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,N,3600.0,44.44444444444444,0.022216051096917523,0.22160664819944598,3520.0
Male,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,Y,3013.0,62.770833333333336,0.015593895155938951,0.13019390581717452,2966.0
Male,Yes,0,Graduate,No,2400,0.0,75.0,360.0,1.0,Urban,Y,2400.0,31.57894736842105,0.03123698458975427,0.2077562326869806,2325.0
Male,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,Y,6277.0,46.49629629629629,0.021344377190187957,0.37119113573407203,6143.0
Male,Yes,0,Not Graduate,Yes,4695,0.0,96.0,360.0,1.0,Urban,Y,4695.0,48.402061855670105,0.020442930153321975,0.2659279778393352,4599.0
Female,No,0,Graduate,No,3410,0.0,88.0,360.0,1.0,Urban,Y,3410.0,38.31460674157304,0.0257988859571973,0.24376731301939059,3322.0
Male,Yes,1,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,Y,5649.0,125.53333333333333,0.007787610619469027,0.12188365650969529,5605.0
Male,Yes,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,Y,5821.0,40.144827586206894,0.024733768464445208,0.3988919667590028,5677.0
Female,Yes,0,Graduate,No,2645,3440.0,120.0,360.0,0.0,Urban,N,6085.0,50.289256198347104,0.019717384160368057,0.33240997229916897,5965.0
Female,No,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,Y,6275.0,43.275862068965516,0.022944550669216062,0.3988919667590028,6131.0
Female,Yes,0,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,Y,3572.0,35.366336633663366,0.027987685418415897,0.2770083102493075,3472.0
Female,No,0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,Y,3086.0,25.50413223140496,0.038872691933916424,0.33240997229916897,2966.0
Female,No,0,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,N,4230.0,37.43362831858407,0.02647128338454266,0.31024930747922436,4118.0
Male,Yes,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,N,4616.0,34.19259259259259,0.02902317522200563,0.37119113573407203,4482.0
Female,Yes,1,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,N,11500.0,40.069686411149824,0.024867402834536128,0.7922437673130194,11214.0
